category,doc1,doc2,similarity
Gun Rights,Coinbase v. Suski.pdf,Garland v. Cargill.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,"Cantero v. Bank of America, N. A..pdf",0.0
Gun Rights,Coinbase v. Suski.pdf,"Moody v. NetChoice, LLC.pdf",0.0
Gun Rights,Coinbase v. Suski.pdf,Trump v. Anderson OA.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,United States v. Rahimi.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,Ohio v. EPA OA.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,McIntosh v. United States.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,Trump v. Anderson.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,McIntosh v. United States OA.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,Ohio v. EPA.pdf,0.0
Gun Rights,Coinbase v. Suski.pdf,"Moody v. NetChoice, LLC OA.pdf",0.0
Gun Rights,Coinbase v. Suski.pdf,"Cantero v. Bank of America, N.A. OA.pdf",0.0
Gun Rights,Coinbase v. Suski.pdf,"Warner Chappell Music, Inc. v. Nealy OA.pdf",0.0
Gun Rights,Coinbase v. Suski.pdf,"Coinbase, Inc. v. Suski OA.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Warner Chappell Music, Inc. v. Nealy.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Bissonnette v. LePage Bakeries Park St., LLC.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Bissonnette v. LePage Bakeries Park St., LLC OA.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",Garland v. Cargill OA.pdf,0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Corner Post, Inc. v. Board of Governors.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",Garland v. Cargill.pdf,0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Cantero v. Bank of America, N. A..pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf","Moody v. NetChoice, LLC.pdf",0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",Trump v. Anderson OA.pdf,0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",United States v. Rahimi.pdf,0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",Ohio v. EPA OA.pdf,0.0
Gun Rights,"Corner Post, Inc. v. Bd. of Governors, FRS OA.pdf",McIntosh v. United States.pdf,0.0
